id,title,release_date,genres,original_language,vote_average,vote_count,popularity,budget,production_companies
536554,M3GAN,12/28/2022,"['Science Fiction', 'Horror', 'Comedy']",English,7.4,2543,471.872,12000000,"['Atomic Monster', 'Blumhouse Productions', 'Divide / Conquer', 'Universal Pictures']"
296271,The Devil Conspiracy,1/13/2023,"['Horror', 'Fantasy', 'Science Fiction', 'Thriller']",English,6.2,145,438.805,0,"['Czech Anglo Productions', 'Third Day Production', 'MBM3 Films']"
1104040,Gangs of Lagos,4/7/2023,['Crime'],English,6.1,35,462.815,160000000,[]
283995,Guardians of the Galaxy Vol. 2,4/19/2017,"['Adventure', 'Action', 'Science Fiction']",English,7.6,19599,492.95,200000000,['Marvel Studios']
1084225,The Park,3/2/2023,"['Action', 'Drama', 'Horror', 'Science Fiction', 'Thriller']",English,6,41,433.291,0,['Vanishing Angle']
869626,Marcel the Shell with Shoes On,6/24/2022,"['Animation', 'Comedy', 'Family', 'Drama', 'Adventure']",English,7.8,258,394.349,0,"['Cinereach', 'Strongman', 'Chiodo Bros. Productions', 'You Want I Should, LLC', 'Human Woman', 'Sunbeam TV & Films']"
1023313,The Exorcist,11/2/2022,['Horror'],Spanish,5.8,76,390.589,0,['BTF media']
455476,Knights of the Zodiac,4/27/2023,"['Fantasy', 'Action', 'Adventure']",English,6.5,28,418.889,0,"['Stage 6 Films', 'Toei Animation']"
631842,Knock at the Cabin,2/1/2023,['Horror'],English,6.4,1401,433.827,20000000,"['Blinding Edge Pictures', 'Universal Pictures', 'FilmNation Entertainment', 'Wishmore', 'Perfect World Pictures', 'dentsu']"
876792,That Time I Got Reincarnated as a Slime the Movie: Scarlet Bond,11/25/2022,"['Animation', 'Fantasy', 'Adventure']",Japanese,7.7,181,435.931,0,"['8bit', 'Bandai Namco Filmworks', 'Magic Capsule', 'Sony Music Solutions', 'Bandai Spirits', 'Kodansha', 'MICRO MAGAZINE', 'Bandai Namco Music Live', 'Nippon BS Broadcasting', 'ADK Marketing Solutions', 'Nippon Television Network Corporation', 'Lantis']"
646389,Plane,1/12/2023,"['Action', 'Adventure', 'Thriller']",English,6.9,1173,385.818,25000000,"['MadRiver Pictures', 'di Bonaventura Pictures', 'G-BASE', 'Olive Hill Media', 'Riverstone Pictures']"
983768,Black Warrant,1/9/2023,"['Action', 'Thriller']",English,5.5,25,384.622,0,['Premiere Entertainment Group']
943822,Prizefighter: The Life of Jem Belcher,6/30/2022,"['Drama', 'History']",English,6.2,122,365.065,0,[]
758009,Shotgun Wedding,12/28/2022,"['Action', 'Comedy', 'Romance']",English,6.3,798,366.566,0,"['Lionsgate', 'Mandeville Films', 'Nuyorican Productions', 'Maximum Effort']"
840326,Sisu,1/27/2023,"['War', 'Action']",Finnish,7.1,36,455.546,6200000,"['Subzero Film Entertainment', 'Good Chaos', 'Stage 6 Films', 'Lionsgate']"
676710,The Amazing Maurice,12/16/2022,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']",English,7,73,322.861,17000000,"['Ulysses Filmproduktion', 'Cantilever Media', 'Filmförderung Hamburg Schleswig-Holstein', 'MEDIA sub-programme of Creative Europe', 'FFA', 'Narrativia', 'Studio Rakete', 'Squeeze', 'Red Star 3D', 'Viva Films']"
985939,Fall,8/11/2022,['Thriller'],English,7.3,2811,317.741,3000000,"['Tea Shop Productions', 'Capstone Pictures', 'BuzzFeed Studios']"
984105,The Mummy Resurrection,1/2/2023,['Horror'],English,5.6,10,299.384,0,['Creativ Studios']
676841,Unhappily Ever After,1/26/2023,"['Comedy', 'Romance']",Spanish,7,129,284.33,0,['NoDancingToday']
649609,Renfield,4/7/2023,"['Horror', 'Comedy', 'Fantasy']",English,7.2,285,325.777,65000000,"['Skybound Entertainment', 'Universal Pictures', 'Giant Wildcat']"
730629,John Wick: Chapter 5,,"['Action', 'Crime', 'Thriller']",English,0,0,297.57,0,['Lionsgate']
616037,Thor: Love and Thunder,7/6/2022,"['Fantasy', 'Action', 'Comedy']",English,6.6,5898,297.321,250000000,"['Marvel Studios', 'Kevin Feige Productions']"
820067,The Quintessential Quintuplets Movie,5/20/2022,"['Animation', 'Comedy', 'Romance']",Japanese,8.6,235,287.143,0,"['DAX Production', 'Pony Canyon', 'Nichion', 'Bibury Animation Studios', 'Nippon BS Broadcasting', 'GYAO', 'Kodansha', 'Good Smile Film', 'Bushiroad', 'MAGNET']"
884184,Consecration,2/9/2023,"['Horror', 'Thriller']",English,6.6,36,241.268,0,"['AGC Studios', 'Bigscope Films', 'Moonriver Content']"
676547,Prey for the Devil,10/23/2022,"['Horror', 'Thriller']",English,7.1,643,251.378,0,"['Lionsgate', 'Gold Circle Films', 'Confluence Productions']"
989473,Invitation to a Murder,5/5/2023,"['Mystery', 'Thriller']",English,6,16,278.748,0,"['ACE entertainment', 'Ari Entertainment', 'Grindstone Entertainment Group']"
1011679,Shark Side of the Moon,8/12/2022,"['Action', 'Science Fiction', 'Thriller', 'Horror']",English,5.3,118,285.449,10000,['The Asylum']
1003579,Batman: The Doom That Came to Gotham,3/10/2023,"['Animation', 'Fantasy', 'Horror', 'Action', 'Mystery']",English,6.6,81,264.781,0,"['DC Entertainment', 'Warner Bros. Animation', 'Warner Bros. Home Entertainment Group']"
874743,To Every You I've Loved Before,10/7/2022,"['Animation', 'Romance', 'Science Fiction']",Japanese,6.4,7,242.183,0,"['BAKKEN RECORD', 'dentsu', 'Toei Company', 'KDDI', 'KADOKAWA', 'Tatsunoko Production', 'OBS', 'Oita Godo Shimbun', 'Hayakawa Publishing', 'nekojarashi', 'MOTION GALLERY']"
874745,"To Me, the One Who Loved You",10/7/2022,"['Animation', 'Romance', 'Science Fiction']",Japanese,6,9,247.831,0,"['TMS Entertainment', 'dentsu', 'Toei Company', 'KDDI', 'KADOKAWA', 'Tatsunoko Production', 'OBS', 'Oita Godo Shimbun', 'Hayakawa Publishing', 'nekojarashi', 'MOTION GALLERY']"
361743,Top Gun: Maverick,5/24/2022,"['Action', 'Drama']",English,8.3,6759,277.473,170000000,"['Skydance Media', 'Don Simpson/Jerry Bruckheimer Films', 'Paramount']"
766507,Prey,8/2/2022,"['Thriller', 'Action', 'Science Fiction']",English,7.8,5444,267.138,65000000,['20th Century Studios']
1076605,Cazadora,1/19/2023,['Thriller'],Spanish,6.2,18,264.587,0,"['Funky Films', 'Paralelo Films']"
966220,Sniper: The White Raven,5/3/2022,"['War', 'Action', 'Drama']",Ukrainian,7.5,371,257.922,1000000,['UM Group']
634649,Spider-Man: No Way Home,12/15/2021,"['Action', 'Adventure', 'Science Fiction']",English,8,17295,262.366,200000000,"['Marvel Studios', 'Pascal Pictures', 'Columbia Pictures']"
736526,Troll,12/1/2022,"['Fantasy', 'Action', 'Adventure', 'Thriller']",Norwegian,6.7,1373,261.895,0,['Motion Blur']
1073413,Phenomena,4/14/2023,"['Comedy', 'Horror', 'Thriller']",Spanish,5.9,74,243.545,0,['Nadie es Perfecto']
1104191,Solo Somos Carne,10/13/2022,['Horror'],Spanish,7.2,6,224.845,0,[]
843794,JUNG_E,1/20/2023,['Science Fiction'],Korean,6.3,447,239.053,0,['Climax Studios']
1026563,13 Exorcisms,11/4/2022,"['Drama', 'Horror']",Spanish,5.6,66,225.617,0,"['Mr. Fields and Friends', 'Atresmedia', 'Bambú Producciones', 'Movistar+']"
675353,Sonic the Hedgehog 2,4/8/2022,"['Action', 'Adventure', 'Family', 'Comedy']",English,7.6,3894,233.707,110000000,"['Original Film', 'Blur Studio', 'Marza Animation Planet', 'Paramount', 'SEGA']"
947704,Yuku et la fleur de l’Himalaya,10/19/2022,"['Animation', 'Family', 'Adventure']",Estonian,2,2,197.218,0,"['Vivement lundi !', 'Nadasdy Film', 'Les Films du Nord', 'Artémis Productions', 'La Boîte, ... Productions']"
1003580,Legion of Super-Heroes,2/7/2023,"['Animation', 'Action', 'Science Fiction']",English,6.3,85,232.521,0,"['Warner Bros. Animation', 'DC Entertainment', 'Warner Bros. Home Entertainment Group']"
776835,The Magician's Elephant,3/10/2023,"['Animation', 'Adventure', 'Family', 'Fantasy']",English,7.1,116,217.567,0,"['Animal Logic', 'Netflix Animation', 'Village Roadshow Pictures', 'Pistor Productions']"
820232,Demon Slayer: Kimetsu no Yaiba Sibling's Bond,3/29/2019,"['Action', 'Animation', 'Fantasy']",Japanese,8,87,261.859,0,['ufotable']
1072074,Disquiet,2/10/2023,"['Thriller', 'Horror', 'Mystery']",English,7,25,230.226,0,"['SP Media Group', 'Steven Paul Production', 'Front Street Pictures']"
663712,Terrifier 2,10/6/2022,['Horror'],English,6.9,1171,223.727,250000,"['Dark Age Cinema', 'Fuzz on the Lens Productions', 'Bloody Disgusting']"
1085103,Clock,3/28/2023,"['Horror', 'Mystery', 'Thriller']",English,6.1,55,411.923,0,['20th Digital Studio']
458156,John Wick: Chapter 3 - Parabellum,5/15/2019,"['Action', 'Thriller', 'Crime']",English,7.4,9165,226.51,55000000,"['Thunder Road', 'Lionsgate', '87Eleven']"
118340,Guardians of the Galaxy,7/30/2014,"['Action', 'Science Fiction', 'Adventure']",English,7.9,25861,255.418,170000000,['Marvel Studios']
988165,H.P. Lovecraft's Witch House,6/29/2022,['Horror'],English,5.8,12,215.135,0,['Horror Wasteland Pictures International']
507086,Jurassic World Dominion,6/1/2022,"['Adventure', 'Action', 'Science Fiction']",English,6.9,4778,237.086,165000000,"['Amblin Entertainment', 'Universal Pictures']"
635302,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,10/16/2020,"['Animation', 'Action', 'Adventure', 'Fantasy', 'Thriller']",Japanese,8.3,3080,256.503,15800000,"['ufotable', 'Aniplex', 'Shueisha', 'STUDIO MAUSU', 'TOHO']"
1077280,Die Hart,2/22/2023,"['Action', 'Comedy', 'Thriller']",English,6.1,278,221.084,0,['HartBeat Productions']
774752,The Guardians of the Galaxy Holiday Special,11/25/2022,"['Comedy', 'Science Fiction', 'Adventure']",English,7.3,1312,232.205,0,"['Marvel Studios', 'Kevin Feige Productions', 'Troll Court Entertainment']"
32516,The Forbidden Legend: Sex & Chopsticks 2,3/4/2009,"['Comedy', 'Drama', 'Romance']",cn,6.2,74,255.11,0,"['Universal Media Studios', 'Twin Co. Ltd.', 'My Way Film Company']"
882598,Smile,9/23/2022,"['Horror', 'Mystery', 'Thriller']",English,6.8,1982,204.835,17000000,"['Paramount Players', 'Temple Hill Entertainment', 'Paramount']"
646385,Scream,1/12/2022,"['Horror', 'Mystery', 'Thriller']",English,6.7,2388,204.722,24000000,"['Paramount', 'Project X Entertainment', 'Radio Silence', 'Spyglass Media Group']"
668482,Roald Dahl's Matilda the Musical,11/25/2022,"['Family', 'Comedy', 'Fantasy']",English,6.8,563,208.067,25000000,"['Working Title Films', 'The Roald Dahl Story Company']"
1041513,Encanto at the Hollywood Bowl,12/28/2022,['Music'],English,7.1,133,199.279,0,"['AMP International', 'Disney Concerts', 'Fulwell 73', 'Live Nation Productions']"
964426,Gold Run,12/15/2022,"['War', 'Action', 'Adventure', 'Thriller']",Norwegian,6.8,33,220.971,0,"['74 Entertainment', 'Viaplay']"
724495,The Woman King,9/16/2022,"['Action', 'Drama', 'History']",English,7.8,1445,227.376,50000000,"['TriStar Pictures', 'JuVee Productions', 'Jack Blue Productions', 'Entertainment One', 'Welle Entertainment']"
1013860,R.I.P.D. 2: Rise of the Damned,11/15/2022,"['Action', 'Comedy', 'Fantasy', 'Crime']",English,6.6,462,206.501,0,['Universal 1440 Entertainment']
829410,Sick,9/11/2022,"['Horror', 'Thriller']",English,6.3,132,206.397,0,"['Miramax', 'Outerbanks Entertainment', 'Blumhouse Productions']"
1058732,The Simpsons Meet the Bocellis in Feliz Navidad,12/15/2022,"['Animation', 'Family', 'Comedy']",English,5.2,36,194.059,0,"['Gracie Films', '20th Television', '20th Television Animation']"
1101799,Queens on the Run,4/14/2023,"['Comedy', 'Action']",Spanish,7,83,204.485,0,"['Perro Azul', 'Selva Pictures']"
873256,"Kiss, Kiss!",4/26/2023,"['Romance', 'Comedy']",Polish,6.9,15,361.9,0,['Lightcraft']
447277,The Little Mermaid,5/18/2023,"['Adventure', 'Family', 'Fantasy', 'Romance']",English,0,0,220.944,0,"['Walt Disney Pictures', 'Lucamar Productions', 'Marc Platt Productions']"
876969,Assassin Club,2/24/2023,"['Action', 'Thriller']",English,7.1,35,355.636,0,"['Film Bridge International', 'The Motus Studios']"
916224,Suzume,11/11/2022,"['Animation', 'Drama', 'Adventure', 'Fantasy']",Japanese,8,328,191.196,0,"['CoMix Wave Films', 'Story', 'Lawson Entertainment', 'East Japan Marketing & Communications', 'voque ting', 'KADOKAWA', 'Aniplex', 'TOHO']"
850871,Sayen,3/3/2023,['Action'],Spanish,6.2,76,200.093,0,"['Fabula', 'Amazon Studios']"
988233,Hex,11/1/2022,"['Action', 'Horror', 'Thriller']",English,5.9,66,205.478,0,['Hex Movie']
453395,Doctor Strange in the Multiverse of Madness,5/4/2022,"['Fantasy', 'Action', 'Adventure']",English,7.4,7372,203.873,200000000,"['Marvel Studios', 'Kevin Feige Productions']"
551271,Medieval,9/8/2022,"['Action', 'Drama', 'History']",English,7.2,374,183.271,23000000,"['JBJ Film', 'Three Brothers Production']"
899112,Violent Night,11/30/2022,"['Action', 'Comedy', 'Crime', 'Thriller']",English,7.5,1399,187.063,20000000,"['87North Productions', 'Universal Pictures']"
324552,John Wick: Chapter 2,2/8/2017,"['Action', 'Thriller', 'Crime']",English,7.3,11464,187.39,40000000,"['Thunder Road', '87Eleven', 'Summit Entertainment']"
385128,F9,5/19/2021,"['Action', 'Adventure', 'Crime', 'Thriller']",English,7.2,6228,190.163,200000000,"['Original Film', 'One Race', 'Perfect Storm Entertainment', 'Universal Pictures', 'Roth-Kirschenbaum Films']"
573171,A Frozen Rooster,12/14/2022,"['Animation', 'Adventure', 'Comedy', 'Family']",Spanish,7.8,281,187.503,0,['Huevocartoon Producciones']
1016121,Beautiful Disaster,4/4/2023,"['Romance', 'Drama', 'Comedy']",English,5.6,67,176.549,0,['Voltage Pictures']
772515,Huesera: The Bone Woman,2/10/2023,"['Drama', 'Horror', 'Mystery']",Spanish,5.8,194,164.652,0,"['Disruptiva Films', 'Machete Producciones', 'Maligno Gorehouse', 'Terminal']"
414906,The Batman,3/1/2022,"['Crime', 'Mystery', 'Thriller']",English,7.7,7894,193.575,185000000,"['6th & Idaho', 'Dylan Clark Productions', 'DC Films', 'Warner Bros. Pictures']"
585511,Luck,8/5/2022,"['Animation', 'Adventure', 'Comedy', 'Fantasy']",English,7.9,1250,176.339,0,"['Skydance Animation', 'Skydance Animation East', 'Skydance Animation']"
