id,title,release_date,genres,original_language,vote_average,vote_count,popularity,production_companies,vote_category,new_budget
283317,Messi,9/6/2014,['Documentary'],Spanish,7.4,201,17.006,Company X,good,12.82125828
559937,S.W.A.T.,12/29/2019,"['Action', 'Crime', 'Drama']",Chinese,7.5,85,18.564,Company X,good,12.82125828
539517,Constantine: City of Demons - The Movie,10/4/2018,"['Fantasy', 'Animation', 'Horror', 'Action']",English,7.8,513,18.21,"['Warner Bros. Animation', 'DC Entertainment', 'Berlanti Productions', 'Blue Ribbon Content', 'Phantom Four']",good,12.82125828
300681,Replicas,10/25/2018,"['Science Fiction', 'Thriller', 'Drama']",English,6,1171,19.76,"['di Bonaventura Pictures', 'Company Films', 'Ocean Park Entertainment', 'Riverstone Pictures', 'Fundamental Films', 'Lotus Entertainment', 'Remstar Productions']",bad,17.21670794
302156,Criminal,4/7/2016,"['Action', 'Crime', 'Science Fiction']",English,6.2,1541,27.996,"['BenderSpink', 'Campbell Grobman Films', 'Criminal Productions', 'Fipex Holding', 'Lionsgate', 'Millennium Films', 'Davis Films', 'Summit Entertainment']",good,17.2654981
117,The Untouchables,6/3/1987,"['Crime', 'Drama', 'History', 'Thriller']",English,7.8,5017,19.949,['Paramount'],good,17.03438638
19114,Endless Love,7/17/1981,"['Romance', 'Drama']",English,5.6,176,17.999,['Universal Pictures'],bad,12.82125828
8697,Who Am I?,1/17/1998,"['Adventure', 'Action', 'Comedy', 'Thriller']",cn,7.1,735,18.249,['Orange Sky Golden Harvest'],good,12.82125828
4141,Shoot 'Em Up,7/26/2007,"['Action', 'Thriller', 'Comedy', 'Crime']",English,6.4,1644,14.2,"['New Line Cinema', 'Angry Films']",good,17.4790722
10957,The Black Cauldron,7/24/1985,"['Animation', 'Adventure', 'Family']",English,6.5,1080,14.997,"['Silver Screen Partners II', 'Walt Disney Pictures', 'Walt Disney Productions']",good,17.03438638
8487,Wild Wild West,6/29/1999,"['Action', 'Adventure', 'Comedy', 'Science Fiction', 'Western']",English,5.3,2992,18.248,"['Peters Entertainment', 'Sonnenfeld Josephson Worldwide Entertainment', 'Todman, Simon, LeMasters Productions', 'Warner Bros. Pictures']",bad,18.951309
1965,A Perfect Murder,6/5/1998,"['Crime', 'Thriller', 'Drama']",English,6.5,1188,18.248,"['Kopelson Entertainment', 'Warner Bros. Pictures']",good,17.90985512
210726,The Second Wife,11/5/1998,"['Comedy', 'Romance']",Italian,5.3,12,14.858,['Cecchi Gori Group Tiger Cinematografica'],bad,12.82125828
38167,Eat Pray Love,8/12/2010,"['Drama', 'Romance']",English,6.2,2179,18.949,"['Red Om Films', 'Columbia Pictures', 'Plan B Entertainment']",good,17.90985512
